Date,TAVG,TMAX,TMIN,PRCP,SNOW,SNWD
1973-01-01,25,36,14,0.00,,
1973-01-02,25,,14,0.00,,
1973-01-03,23,,,,,
1973-01-04,26,,23,,,
1973-01-05,31,,28,0.00,,
1973-01-06,31,32,30,0.00,,
1973-01-07,33,34,30,0.00,,
1973-01-08,32,,30,0.00,,
1973-01-09,32,34,,0.00,,
1973-01-10,32,34,27,0.04,,
1973-01-11,30,,28,0.01,,1.6
1973-01-12,25,,18,,,1.6
1973-01-13,30,32,28,0.08,,29.5
1973-01-14,28,30,,,,
1973-01-15,27,28,,0.00,,1.6
1973-01-16,17,21,14,0.00,,1.6
1973-01-17,14,21,9,0.00,,1.6
1973-01-18,22,27,9,0.00,,1.6
1973-01-19,25,27,,,,
1973-01-20,30,34,25,0.31,,5.1
1973-01-21,22,,,0.01,,5.1
1973-01-22,18,19,16,0.04,,5.1
1973-01-23,18,19,18,0.00,,5.1
1973-01-24,20,25,16,0.01,,5.1
1973-01-25,13,19,5,0.00,,5.1
1973-01-26,17,27,10,0.00,,3.1
1973-01-27,17,23,7,0.00,,3.1
1973-01-28,27,28,19,0.00,,3.1
1973-01-29,31,34,27,0.08,,5.1
1973-01-30,28,32,,,,5.1
1973-01-31,16,23,,,,
1973-02-01,14,25,7,0.00,,5.1
1973-02-02,19,25,9,0.00,,5.1
1973-02-03,32,36,21,,,3.1
1973-02-04,34,37,,0.00,,3.1
1973-02-05,34,36,27,0.00,,1.6
1973-02-06,35,37,34,0.00,,0.4
1973-02-07,39,43,,0.12,,
1973-02-08,38,43,36,0.00,,
1973-02-09,39,41,36,0.10,,
1973-02-10,37,39,,0.08,,
1973-02-11,32,37,28,0.00,,
1973-02-12,30,32,,0.00,,
1973-02-13,32,,28,,,
1973-02-14,34,37,30,0.04,,1.6
1973-02-15,35,37,34,0.00,,1.6
1973-02-16,39,41,36,0.01,,0.4
1973-02-17,35,,,0.24,,
1973-02-18,34,36,32,0.20,,0.4
1973-02-19,32,34,,,,29.5
1973-02-20,31,32,30,0.01,,
1973-02-21,37,43,30,0.20,,0.4
1973-02-22,37,,,,,
1973-02-23,33,36,32,0.20,,1.6
1973-02-25,29,30,23,0.24,,1.6
1973-02-26,27,30,27,0.10,,3.1
1973-02-27,29,30,27,0.02,,3.1
1973-02-28,26,32,,0.00,,
1973-03-01,31,36,18,0.13,,3.1
1973-03-02,32,34,,0.00,,1.6
1973-03-03,27,34,21,0.00,,1.6
1973-03-04,26,32,,0.00,,3.1
1973-03-05,24,39,10,0.00,,1.6
1973-03-06,29,37,18,0.00,,1.6
1973-03-07,34,39,,,,3.1
1973-03-08,31,36,25,0.08,,0.4
1973-03-09,31,34,,0.06,,
1973-03-10,26,34,16,0.00,,1.6
1973-03-11,27,36,19,0.00,,1.6
1973-03-12,28,37,19,0.00,,1.6
1973-03-13,28,41,16,0.00,,
1973-03-14,31,43,18,0.00,,
1973-03-15,31,39,,,,
1973-03-16,31,45,18,0.00,,
1973-03-17,33,36,30,0.13,,
1973-03-18,37,43,,,,
1973-03-19,32,37,28,0.00,,
1973-03-20,34,45,27,0.00,,
1973-03-21,39,45,,0.04,,
1973-03-22,39,50,27,0.00,,
1973-03-23,47,55,39,0.00,,
1973-03-24,47,61,,0.00,,
1973-03-25,46,64,,0.20,,
1973-03-26,47,63,34,0.00,,
1973-03-27,50,66,32,0.00,,
1973-03-28,49,,37,0.04,,
1973-03-29,45,57,36,0.00,,
1973-03-30,49,63,30,0.00,,
1973-03-31,48,61,36,0.01,,
1973-04-01,40,50,30,0.00,,
1973-04-02,41,46,36,0.12,,
1973-04-03,46,,39,0.02,,
1973-04-04,41,48,36,0.00,,
1973-04-05,38,50,19,0.00,,
1973-04-06,46,52,41,0.04,,
1973-04-07,40,46,,0.12,,
1973-04-08,38,48,30,0.02,,
1973-04-09,40,50,28,0.04,,
1973-04-10,49,63,37,0.31,,
1973-04-11,43,,37,0.00,,
1973-04-12,37,43,,,,
1973-04-13,36,46,28,0.00,,
1973-04-14,39,50,28,0.00,,
1973-04-15,40,54,25,0.00,,
1973-04-16,42,55,25,0.00,,
1973-04-17,44,50,36,0.00,,
1973-04-18,37,45,,0.01,,
1973-04-19,38,50,27,,,
1973-04-20,46,59,32,0.01,,
1973-04-21,51,,41,0.00,,
1973-04-22,49,61,37,0.00,,
1973-04-23,42,45,41,0.00,,
1973-04-24,43,50,,,,
1973-04-25,43,52,32,0.00,,
1973-04-26,43,50,32,0.00,,
1973-04-27,42,54,,0.00,,
1973-04-28,49,64,30,0.00,,
1973-04-29,56,66,41,0.00,,
1973-04-30,56,,,0.00,,
1973-05-01,54,68,37,0.00,,
1973-05-02,63,77,52,0.00,,
1973-05-03,51,54,48,0.24,,
1973-05-04,53,64,,0.08,,
1973-05-05,56,73,37,0.00,,
1973-05-06,61,77,,0.08,,
1973-05-07,53,57,48,0.02,,
1973-05-08,55,61,50,0.08,,
1973-05-09,50,57,,0.00,,
1973-05-10,50,59,,0.00,,
1973-05-11,48,59,37,0.16,,
1973-05-12,46,54,,0.35,,
1973-05-13,45,50,36,0.01,,
1973-05-14,56,66,46,0.00,,
1973-05-15,46,54,,0.39,,
1973-05-16,43,52,36,0.12,,
1973-05-17,42,52,34,0.01,,
1973-05-18,42,52,32,0.00,,
1973-05-19,47,61,28,0.00,,
1973-05-20,53,68,37,0.00,,
1973-05-21,61,,45,,,
1973-05-22,64,,,,,
1973-05-23,61,68,54,0.35,,
1973-05-24,57,63,,,,
1973-05-25,54,59,52,0.02,,
1973-05-26,56,63,50,0.00,,
1973-05-27,56,64,50,0.08,,
1973-05-28,60,70,46,0.00,,
1973-05-29,62,72,43,0.00,,
1973-05-30,62,73,48,0.00,,
1973-05-31,60,73,45,0.00,,
1973-06-01,63,73,46,0.00,,
1973-06-02,64,73,54,0.00,,
1973-06-03,66,75,55,0.00,,
1973-06-04,58,,,0.16,,
1973-06-05,57,63,54,0.01,,
1973-06-06,60,68,55,0.04,,
1973-06-07,63,73,50,0.00,,
1973-06-08,63,75,54,0.01,,
1973-06-09,64,72,,0.00,,
1973-06-10,62,73,50,0.00,,
1973-06-11,57,63,,0.04,,
1973-06-12,56,68,39,0.00,,
1973-06-13,63,75,48,0.00,,
1973-06-14,56,70,,0.00,,
1973-06-15,49,59,45,0.06,,
1973-06-16,50,61,43,0.01,,
1973-06-17,49,54,45,0.51,,
1973-06-18,53,59,48,0.08,,
1973-06-19,55,66,46,0.16,,
1973-06-20,55,63,48,0.08,,
1973-06-21,54,63,,0.04,,
1973-06-22,56,64,45,0.08,,
1973-06-23,64,77,48,0.00,,
1973-06-24,65,77,50,0.00,,
1973-06-25,67,77,52,0.00,,
1973-06-26,69,81,55,0.00,,
1973-06-27,70,82,52,0.00,,
1973-06-28,71,84,54,0.00,,
1973-06-29,71,84,61,0.16,,
1973-06-30,66,73,,0.20,,
1973-07-01,65,77,,,,
1973-07-02,69,,54,,,
1973-07-03,68,81,55,0.31,,
1973-07-04,65,75,57,0.03,,
1973-07-05,66,75,61,0.39,,
1973-07-06,67,77,59,0.08,,
1973-07-07,73,84,57,0.00,,
1973-07-08,71,81,59,0.00,,
1973-07-09,65,75,61,0.94,,
1973-07-10,60,,57,1.10,,
1973-07-11,61,70,,0.00,,
1973-07-12,63,,50,,,
1973-07-13,64,73,52,0.00,,
1973-07-14,66,75,54,0.00,,
1973-07-15,67,,54,0.00,,
1973-07-16,69,77,63,0.24,,
1973-07-17,68,79,59,0.00,,
1973-07-18,65,73,59,0.51,,
1973-07-19,59,63,54,0.00,,
1973-07-20,60,70,,,,
1973-07-21,63,73,55,0.02,,
1973-07-22,64,73,54,0.00,,
1973-07-23,58,70,50,0.24,,
1973-07-24,58,66,50,0.00,,
1973-07-25,55,,,,,
1973-07-26,56,66,45,0.04,,
1973-07-27,58,,55,,,
1973-07-28,63,73,,0.79,,
1973-07-29,62,70,55,0.94,,
1973-07-30,62,72,54,0.12,,
1973-07-31,64,75,48,0.00,,
1973-08-01,63,75,52,0.00,,
1973-08-02,68,79,52,0.00,,
1973-08-03,69,79,57,0.08,,
1973-08-04,66,81,55,0.67,,
1973-08-05,68,79,57,0.00,,
1973-08-06,72,81,61,0.00,,
1973-08-07,75,84,,,,
1973-08-08,62,70,,0.01,,
1973-08-09,56,64,50,0.04,,
1973-08-10,56,68,41,0.00,,
1973-08-11,62,77,45,0.00,,
1973-08-12,62,72,,,,
1973-08-13,60,68,50,0.00,,
1973-08-14,59,,46,,,
1973-08-15,63,73,54,0.00,,
1973-08-16,65,79,50,0.00,,
1973-08-17,67,,57,,,
1973-08-18,67,81,,,,
1973-08-19,65,73,,0.00,,
1973-08-20,61,72,,,,
1973-08-21,59,68,,0.08,,
1973-08-22,53,63,43,0.04,,
1973-08-23,53,66,36,0.00,,
1973-08-24,57,70,45,0.00,,
1973-08-25,54,63,46,0.00,,
1973-08-26,50,63,37,0.00,,
1973-08-27,54,68,41,0.00,,
1973-08-28,55,72,39,0.00,,
1973-08-29,59,,41,,,
1973-08-30,59,75,43,0.00,,
1973-08-31,61,77,45,0.00,,
1973-09-01,56,64,52,0.25,,
1973-09-02,59,68,52,0.09,,
1973-09-03,57,64,50,0.00,,
1973-09-04,55,68,,0.00,,
1973-09-05,57,72,,0.00,,
1973-09-06,65,79,55,0.00,,
1973-09-07,63,75,46,0.00,,
1973-09-08,62,70,,0.00,,
1973-09-09,62,73,50,0.00,,
1973-09-10,55,63,,0.01,,
1973-09-11,44,57,37,0.04,,
1973-09-12,44,48,36,0.16,,
1973-09-13,46,54,37,0.06,,
1973-09-14,47,57,37,0.00,,
1973-09-15,45,57,32,0.00,,
1973-09-16,54,64,46,0.00,,
1973-09-17,46,55,,0.00,,
1973-09-18,41,55,27,0.00,,
1973-09-19,47,61,32,0.00,,
1973-09-20,55,70,41,0.00,,
1973-09-21,59,72,52,0.00,,
1973-09-22,57,64,50,0.00,,
1973-09-23,51,63,37,0.00,,
1973-09-24,43,,41,0.00,,
1973-09-25,42,45,39,0.35,,
1973-09-26,51,59,43,0.00,,
1973-09-27,49,52,45,0.20,,
1973-09-28,48,52,45,0.13,,
1973-09-29,51,57,45,0.00,,
1973-09-30,52,59,,0.00,,
1973-10-01,47,57,41,0.00,,
